URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/303272/global-politics-and-international-relations-undergraduate-foundation-programme.html?ref=search_card,Global Politics and International Relations - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/97153/hospitality-and-tourism-management.html?ref=search_card,Hospitality and Tourism Management (Hons),Bachelor,Toronto Metropolitan University,"4,532,097 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/455162/business-analytics.html?ref=search_card,Business Analytics,Bachelor,University of Canterbury,"3,586,721 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/452609/pharmaceutical-chemistry-undergraduate-foundation-programme.html?ref=search_card,Pharmaceutical Chemistry - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/425341/sociology-and-politics-undergraduate-foundation-programme.html?ref=search_card,Sociology and Politics - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/492267/business-management-undergraduate-foundation-programme.html?ref=search_card,Business Management - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/483082/arts-econometrics.html?ref=search_card,Arts - Econometrics,Bachelor,The University of Sydney,"5,410,594 NPR / year",Sydney,Australia,3 years
https://www.bachelorsportal.com/studies/429020/business-and-management-international-year-one.html?ref=search_card,Business and Management - International Year One,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/97262/medical-physics.html?ref=search_card,Medical Physics (Hons),Bachelor,Toronto Metropolitan University,"3,942,933 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/303406/law-undergraduate-foundation-programme.html?ref=search_card,Law - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/427074/mathematics-with-italian-undergraduate-foundation-programme.html?ref=search_card,Mathematics with Italian - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/455189/mathematical-sciences-education.html?ref=search_card,Mathematical Sciences Education,Bachelor,University of Canterbury,"3,671,957 NPR / year",Christchurch,New Zealand,3 years
