URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/490474/computer-science-and-engineering-3-continent.html?ref=search_card,Computer Science and Engineering - 3 ContinentAmity University Noida,N/A,,"1,105,184 NPR / year",Noida,India,4 years
https://www.bachelorsportal.com/studies/97172/industrial-engineering.html?ref=search_card,Industrial EngineeringIndustrial EngineeringToronto Metropolitan University,N/A,Provided by university,"4,590,231 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/455297/screen-sound.html?ref=search_card,Screen Sound (Hons)Screen Sound (Hons)University of Canterbury,N/A,Provided by university,"4,184,255 NPR / year",Christchurch,New Zealand,4 years
https://www.bachelorsportal.com/studies/426983/computer-science-undergraduate-foundation-programme.html?ref=search_card,Computer Science (Artificial Intelligence) - Undergraduate Foundation ProgrammeComputer Science (Artificial Intelligence) - Undergraduate Foundation ProgrammeRoyal Holloway University of London,N/A,,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452686/english-and-european-law-university-of-london-international-foundation-programme.html?ref=search_card,"English and European Law - University of London International Foundation ProgrammeEnglish and European Law - University of London International Foundation ProgrammeGoldsmiths, University of London",N/A,,"4,734,867 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/474399/civil-engineering.html?ref=search_card,Civil EngineeringCivil EngineeringManipal Academy of Higher Education,N/A,,"1,700,513 NPR / year",Dubai,United Arab Emirates,4 years
https://www.bachelorsportal.com/studies/463549/bachelor-of-arts.html?ref=search_card,Bachelor of ArtsBachelor of ArtsManipal Academy of Higher Education,Bachelor,Provided by university,"838,920 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/492485/defence-and-strategic-studies.html?ref=search_card,Defence and Strategic Studies (Honours - Honours with Research)Amity University Noida,N/A,,"344,473 NPR / year",Noida,India,4 years
https://www.bachelorsportal.com/studies/338032/media-and-communications.html?ref=search_card,Media and CommunicationsThe University of Sydney,N/A,Provided by university,"5,431,357 NPR / year",Sydney,Australia,3 years
https://www.bachelorsportal.com/studies/492449/computer-science-and-engineering.html?ref=search_card,Computer Science and Engineering (Data Science)Amity University Noida,N/A,,"1,047,772 NPR / year",Noida,India,4 years
https://www.bachelorsportal.com/studies/452577/physics-with-particle-physics-undergraduate-foundation-programme.html?ref=search_card,Physics with Particle Physics - Undergraduate Foundation ProgrammePhysics with Particle Physics - Undergraduate Foundation ProgrammeQueen Mary University of London,N/A,Provided by university,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103373/sociology.html?ref=search_card,SociologySociologyUniversity of Canterbury,N/A,Provided by university,"3,018,548 NPR / year",Christchurch,New Zealand,3 years
